id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website
154397,98723,churchill downs,usa,$8.62 b,,,,,,,,$230.62,,,,churchill downs,usa,$8.46 b,,,,,,,,$226.42,,,
61665,49995,toread holdings group,china,,not found,,consumer cyclical apparels and accessories leisure,,not found,not found,,,,,,toread holdings group,,,,,,,,,,,,,httpwww.toread.com.cn
110042,18757,"slack technologies, inc.",united states,$24.30 b,vancouver british columbia canada 2009,1664,softwareapplication,technology,mr. phanich sodsee,,work,,,,,"slack technologies, inc.",united states,$24.30 billion,vancouver british columbia canada 2009,1664,softwareapplication,technology,mr. phanich sodsee,$401 million 2019,,,,,
46653,15154,tilray,,,,1030,,,,,,,,,httpswww.tilray.com,tilray,canada,,,,,,,,,3,,,
101371,95108,irobot,usa,$1.29 b,,,,,,,,$47.44,,,,irobot,,$1.31 b,,1.438,,,,$1.28 b,,$47.98,,,
179029,170595,china pacific insurance,,cn¥197.51 billion,,110940,,,not found,,,,,,,china pacific insurance,china,$31.04 b,,,insurancelife,financials,,,601601,,,,
102657,17163,seer,usa,$0.39 b,,,,,,,,$6.24,,,,seer,usa,,,,,,,,,5,,,
24475,14546,sumitomo dainippon pharma,japan,$3.04 b,,,,,,,,$7.66,,,,sumitomo dainippon pharma,japan,,,,,,,,,7,,,
128473,60763,atrium european real estate,,,,,,,,,,,,,,atrium european real estate,uk,,1997,,real estate,,not found,171 million usd,,,,,
69475,69473,oaaspazzola(16606762),,,,,,,,,,,,viljandi maakond viljandi linn riia mnt 402 71009,,oaaspazzola(16606762),,,,,,,,,,,,viljandi maakond viljandi linn riia mnt 402 71009,
51484,9889,"guangdong huiyun titanium industry co., ltd.",,,,,,,,,,,,,httpwww.gdtitanium.com,"guangdong huiyun titanium industry co., ltd.",china,1.236 billion usd,,,,,,,,,,,
97229,73717,sony,japan,$100.58 b,,,,,,,,$81.23,,,,sony,,,,,,,,,,,,,
182466,106081,pt sinar mas multiartha tbk,,rp76.730 trillion,,6158,,,not found,,,,,,,pt sinar mas multiartha tbk,,$5.3b,,6233,financial services,,,$2.7b,,,,sinarmas land plaza menara i lt. 9 jl. m.h. thamrin no. 51 jakarta 10350,www.smma.co.id
114920,101398,oceanfirst financial,usa,$1.32 b,,,,,,,,$22.42,,,,oceanfirst financial,usa,$1.27 b,,,,,,,,$21.52,,,
52524,12296,snam,italy,,,3388,,utilities,marco alvera,3284 million usd,,,,,,snam,italy,,,,,,,,,5,,,
127963,100957,xpel,,,,709,,,,,,,,,,xpel,usa,$1.76 b,,,,,,,,$63.81,,,
103509,21782,usd partners,usa,$0.10 b,,,,,,,,$3.29,,,,usd partners,usa,$0.10 b,,,,,,,,$3.25,,,
63408,52387,credit agricole,,,,,,,,,,,,,,credit agricole,france,,,73037,,financial services,philippe brassac,0 million usd,,,,,
169733,43013,the mosaic company,united states,,,,agricultural inputs,basic materials,,,mos,,,,,the mosaic company,,,,12525,,,james c. o rourke,,,,,,httpwww.mosaicco.com
112866,89218,elevate credit,usa,$56.94 m,,,,,,,,$1.81,,,,elevate credit,usa,,,,,,,,,$1.81,,,
55744,44071,databricks,usa,,2013,,artificial intelligence analytics software and it technology,,not found,not found,,,,,,databricks,,,,4101,,,,,,,,,httpsdatabricks.com
99996,56398,voltas,india,$3.41 b,,,,,,,,$10.32,,,,voltas,india,,1954,,industries electronics industry machinery consumer durables home appliances,,not found,981 million usd,,,,,
111041,97749,willis towers watson,uk,$26.79 b,,,,,,,,$247.56,,,,willis towers watson,uk,$26.58 b,,,,,,,,$245.63,,,
156668,49157,nh hotel group,spain,$1.58 b,,,,,,,,$3.64,,,,nh hotel group,,,,,,,,,,,,,httpswww.nhhotels.com
155516,31887,america movil,mexico,$66.12 b,,,,,,,,$20.89,,,,america movil,,,,186851,,,daniel hajj aboumrad,,,,,,httpswww.americamovil.com
44214,13302,osaka gas,,,,5271,,,,,,,,,httpswww.osakagas.co.jpen,osaka gas,japan,,,,,,,,,15,,,
171327,67789,c.u.n. cargo carriers,romania,,2017,49,,transport,,7103702,,,,,,c.u.n. cargo carriers,romania,,2017,,,transport,,,,,,,
46864,36864,kajaria ceramics,,,,2521,,,,,,,,,httpswww.kajariaceramics.com,kajaria ceramics,,,,2521,,,,,,,,,httpswww.kajariaceramics.com
161417,82128,p a b dental care limited,,,,,,,,,,,,cartmoorfarm stockland honiton devon unitedkingdom ex149bz,,p a b dental care limited,,,,,,,,,,,,,
86093,14874,wesbanco,usa,,,,,,,,,$37.52,,,,wesbanco,usa,,,,,,,,,38,,,
185428,36060,compagnie d'entreprises cfe sa,,€3.21 billion,,8000,,,not found,,,,,,,compagnie d'entreprises cfe sa,,,,,,,,,,,,,httpswww.cfe.be
90395,66801,abb ltd,switzerland,,,,,industrials,,,abbn,,,,,abb ltd,,,founded 1988,employees 104400,,,,,,,,,
156446,101264,alembic pharmaceuticals,india,$1.34 b,,,,,,,,$6.81,,,,alembic pharmaceuticals,india,$1.40 b,,,,,,,,$7.16,,,
121429,19585,o'reilly automotive,,,,83636,,,gregory d. johnson,,,,,,,o'reilly automotive,usa,$51.86 b,,,,,,,,$828.79,,,
