id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website
111856,103038,appian,usa,$2.80 b,,,,,,,,$38.61,,,,southern states bancshares,usa,$0.24 b,,,,,,,,$28.05,,,
166858,88085,mediaalpha,usa,$0.69 b,,,,,,,,$11.47,,,,alpine immune sciences,usa,,,,,,,,,$8.75,,,
162643,456,j. b. hunt,usa,$19.61 b,,,,,,,,$189.10,,,,msci,usa,52.316 billion usd,,,,,henry a. fernandez,,,,,,
165224,158402,rogers corporation,usa,$2.50 b,,,,,,,,$132.98,,,,luna innovations,usa,$0.31 b,,,,,,,,$9.41,,,
170957,8129,cgn power co. ltd,china,$19.25 b,,,utilitiesindependent power producers,utilities,,,003816,,,,,bordrin,china,7693,,,,,,,,,,,
165315,110848,nexpoint residential,usa,$2.35 b,,,,,,,,$45.57,,,,hilton worldwide,usa,$38.24 b,,,,,,,,$141.42,,,
166801,103726,hanger,usa,$0.73 b,,,,,,,,$18.72,,,,vtv therapeutics,usa,$59.48 m,,,,,,,,$0.73,,,
61300,24783,liberty braves group,usa,,not found,,communication services entertainment media,,not found,568 million usd,,,,,,maximus,usa,$4.23 b,,,,,,,,$69.61,,,
156524,2936,huya,china,$1.22 b,,,,,,,,$5.11,,,,fangda carbon new material technology,china,6.862 billion usd,,,,,,,,,,,
165320,13236,globalstar,usa,$2.34 b,,,,,,,,$1.30,,,,first industrial realty trust,usa,,,,,,,,,49,,,
100817,85072,rocket lab,usa,$1.94 b,,,,,,,,$4.12,,,,hancock whitney,usa,,,,,,,,,$50.97,,,
120175,71192,"ashly audio, inc.",united states,,,,,,,,,,webster,847 holt rd,,albertsons,united states,$15.57 b,,,,,,,,,,,
16797,12046,bionano genomics,usa,,,,,,,,,1,,,,firstenergy,usa,,,,,,,,,42,,,
99502,6808,coca-cola consolidated,usa,$4.78 b,,,,,,,,$510.98,,,,weatherford international plc,usa,1.105 billion usd,,,,,,,,,,,
83755,24709,chesapeake energy,usa,,,,,,,,,$91.21,,,,cvb financial,usa,$3.81 b,,,,,,,,$27.30,,,
21981,20221,whole earth brands,usa,$0.17 b,,,,,,,,$4.21,,,,boston beer company,usa,$4.41 b,,,,,,,,$359.02,,,
169494,109963,public service enterprise group incorporated,united states,,,,utilitiesdiversified,utilities,,,peg,,,,,ball corporation,united states,$29.40 b,1880,24300,packaging containers,consumer discretionary,mr. john a. hayes,,bll,,,,
59737,23772,biocryst pharmaceuticals,usa,,1986,,healthcare pharmaceutical healthcare products biotechnology technology,,not found,157 million usd,,,,,,day one biopharmaceuticals,usa,$1.61 b,,,,,,,,$22.00,,,
20989,16911,annexon,usa,$0.25 b,,,,,,,,$5.41,,,,huuuge,usa,,,,,,,,,5,,,
