,URL,ID,Name,Company code,Marketcap,Share price,Earnings,Revenue,Shares,Employees,Category,Hash
856,https://companiesmarketcap.com/johnson-outdoors/marketcap/,601.0,Johnson Outdoors,JOUT,$0.70 B,$68.74,$59.04 M,$0.74 B,,1.4,Investment,-3683647381629899485
857,https://companiesmarketcap.com/johnson-outdoors/marketcap/,601.0,Johnson Outdoors,JOUT,$0.70 B,$68.74,$59.04 M,$0.74 B,,1.4,Insurance,-2611088800210967206
858,https://companiesmarketcap.com/axt-inc/marketcap/,602.0,AXT Inc,AXTI,$0.22 B,$5.28,$22.65 M,$0.15 B,,1.399,Construction,6530315917355802760
859,https://companiesmarketcap.com/zuora/marketcap/,603.0,Zuora,ZUO,$0.89 B,$6.73,-$0.13 B,$0.38 B,,1.393,Multilevelmarketing,-2477597736499226636
860,https://companiesmarketcap.com/zuora/marketcap/,603.0,Zuora,ZUO,$0.89 B,$6.73,-$0.13 B,$0.38 B,,1.393,Dietarysupplements,6040640138690966736
861,https://companiesmarketcap.com/tri-pointe-group/marketcap/,604.0,TRI Pointe Group,TPH,$2.09 B,$20.72,$0.69 B,$4.03 B,,1.39,Transportation,-2725400413481745490
862,https://companiesmarketcap.com/ormat-technologies/marketcap/,605.0,Ormat Technologies,ORA,$5.05 B,$90.21,$0.12 B,$0.71 B,,1.385,Internet,-848597773130649638
863,https://companiesmarketcap.com/ormat-technologies/marketcap/,605.0,Ormat Technologies,ORA,$5.05 B,$90.21,$0.12 B,$0.71 B,,1.385,ECommerce,5458971525214020641
864,https://companiesmarketcap.com/ormat-technologies/marketcap/,605.0,Ormat Technologies,ORA,$5.05 B,$90.21,$0.12 B,$0.71 B,,1.385,Tech,5392941245537608590
865,https://companiesmarketcap.com/lendingclub/marketcap/,606.0,LendingClub,LC,$1.00 B,$9.58,$0.16 B,$1.16 B,,1.384,Professionalservices,8712968451453521438
866,https://companiesmarketcap.com/lsi-industries/marketcap/,607.0,LSI Industries,LYTS,$0.37 B,$13.49,$26.49 M,$0.47 B,,1.38,Construction,6530315917355802760
867,https://companiesmarketcap.com/ubiquiti/marketcap/,608.0,Ubiquiti,UI,$17.66 B,$292.25,$0.42 B,$1.73 B,60.427.000,1.377,Food,4721068128442604370
868,https://companiesmarketcap.com/advansix/marketcap/,609.0,AdvanSix,ASIX,$1.19 B,$43.17,$0.21 B,$1.96 B,,1.375,Biotech,-6437318974046106094
869,https://companiesmarketcap.com/advansix/marketcap/,609.0,AdvanSix,ASIX,$1.19 B,$43.17,$0.21 B,$1.96 B,,1.375,Pharmaceuticals,5380718181721596073
870,https://companiesmarketcap.com/guardant-health/marketcap/,610.0,Guardant Health,GH,$3.11 B,$30.43,-$0.59 B,$0.43 B,,1.373,Networkinghardware,-4800082983762754847
